"filename", "language", "Markdown", "Python", "pip requirements", "JSON", "comment", "blank", "total"
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/.agents/quickstart.md", "Markdown", 15, 0, 0, 0, 0, 4, 19
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/AGENTS.md", "Markdown", 91, 0, 0, 0, 0, 27, 118
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/README.md", "Markdown", 67, 0, 0, 0, 0, 18, 85
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/bot.py", "Python", 0, 3, 0, 0, 0, 3, 6
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/card_image_pull_report.json", "JSON", 0, 0, 0, 9, 0, 0, 9
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/docs/README.md", "Markdown", 19, 0, 0, 0, 0, 8, 27
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/docs/architecture.md", "Markdown", 66, 0, 0, 0, 0, 25, 91
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/docs/commands-and-ux.md", "Markdown", 93, 0, 0, 0, 0, 33, 126
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/docs/data-model.md", "Markdown", 87, 0, 0, 0, 0, 36, 123
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/docs/development-runbook.md", "Markdown", 78, 0, 0, 0, 0, 27, 105
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/docs/roadmap-and-known-issues.md", "Markdown", 66, 0, 0, 0, 0, 20, 86
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/__init__.py", "Python", 0, 0, 0, 0, 1, 1, 2
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/app.py", "Python", 0, 65, 0, 0, 0, 18, 83
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/cards.py", "Python", 0, 289, 0, 0, 0, 58, 347
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/commands.py", "Python", 0, 448, 0, 0, 0, 94, 542
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/presentation.py", "Python", 0, 70, 0, 0, 1, 16, 87
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/rarities.py", "Python", 0, 7, 0, 0, 0, 1, 8
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/services.py", "Python", 0, 175, 0, 0, 0, 43, 218
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/settings.py", "Python", 0, 13, 0, 0, 0, 2, 15
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/storage.py", "Python", 0, 430, 0, 0, 255, 106, 791
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/utils.py", "Python", 0, 5, 0, 0, 0, 1, 6
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/noodswap/views.py", "Python", 0, 355, 0, 0, 0, 58, 413
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/requirements.txt", "pip requirements", 0, 0, 2, 0, 0, 1, 3
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/migration_smoke.py", "Python", 0, 78, 0, 0, 18, 24, 120
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/pull_card_images.py", "Python", 0, 192, 0, 0, 0, 39, 231
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/scripts/rarity_odds.py", "Python", 0, 25, 0, 0, 0, 11, 36
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_cards.py", "Python", 0, 19, 0, 0, 0, 7, 26
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_commands.py", "Python", 0, 86, 0, 0, 0, 27, 113
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_services.py", "Python", 0, 172, 0, 0, 0, 50, 222
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_storage.py", "Python", 0, 244, 0, 0, 18, 67, 329
"/Users/brian/stuff/dev/mine/discord-bots/Noodswap/tests/test_views.py", "Python", 0, 114, 0, 0, 0, 43, 157
"Total", "-", 582, 2790, 2, 9, 293, 868, 4544
